No,Type,Title,Authors,Volume,DOI,Paper_Link
786,Method,MMSep: Efficient Multimodal Long-Generation Reasoning via Multimodal Separator Compression,"Mingjie Ma, Yichao Ma, Jiannan Cao, Changhong Li, Chuhang Hong, Zhong Yang, Guohui Li",10.1145/3770855,10.1145/3770855.3817821,https://doi.org/10.1145/3770855.3817821
787,Method,SEA-FGT: Frequency-Guided Transformer with Semantic Expert Augment for Time Series Anomaly Detection,"Wei Huang, Zhihong Wang, Yanyong Huang, Jia Liu, Xiaocao Ouyang",10.1145/3770855,10.1145/3770855.3817823,https://doi.org/10.1145/3770855.3817823
788,Method,KGA-LM: Representation-Level Grounding for Conversational Search over Knowledge Graphs,"Yunfei Li, Chengfei Liu, Rui Zhou, Zhiyu Xu, Siyu Zhang, Jin Wei",10.1145/3770855,10.1145/3770855.3817824,https://doi.org/10.1145/3770855.3817824
789,Method,Geometry-aware Test-Time Adaptation on Graphs,"Lingwei Wei, Dou Hu, Li Sun, Chengze Li, Wei Zhou, Songlin Hu, Philip S. Yu",10.1145/3770855,10.1145/3770855.3817825,https://doi.org/10.1145/3770855.3817825
790,Method,Quantized Model Soup Shake-Up: Weight Perturbation for Enhanced Ensemble Diversity,"Jinwoo Chung, Sungyeop Jung, Weronika Czorapinska, Jangho Kim",10.1145/3770855,10.1145/3770855.3817826,https://doi.org/10.1145/3770855.3817826
791,Method,Topology-Aware Neural Collapse for Generalized Category Discovery on Graphs,"Xuanzhi Xi, Zhong Zhang, Hongliang Wang, Tongze Zhang, hongchao hu, Qinli Yang, Junming Shao",10.1145/3770855,10.1145/3770855.3817835,https://doi.org/10.1145/3770855.3817835
792,Method,Is the Last Check-In All You Need? Next POI Recommendation: Recall and Rerank,"Zhengjia Xu, Dingyang Lyu, Zitai Qiu, Shan Xue, Jian Yang, Jia Wu",10.1145/3770855,10.1145/3770855.3817836,https://doi.org/10.1145/3770855.3817836
793,Method,"Few Tokens, Big Leverage: Preserving Safety Alignment by Constraining Safety Tokens during Fine-tuning","Guoli Wang, Haonan Shi, Tu Ouyang, An Wang",10.1145/3770855,10.1145/3770855.3817837,https://doi.org/10.1145/3770855.3817837
794,Method,CATGX: Causal-Aware Temporal Graph Explanation via Scalable Motif Sampling and Adjustment,"Mingjian Lu, Hieu Vu, Vu K Le, Jing Ma, Yinghui Wu",10.1145/3770855,10.1145/3770855.3818100,https://doi.org/10.1145/3770855.3818100
795,Method,Why Retrieval-Augmented Generation Fails: A Graph Perspective,"Kai Guo, Xinnan Dai, Zhibo Zhang, Nuohan Lin, Shenglai Zeng, Jie Ren, Haoyu Han, Jiliang Tang",10.1145/3770855,10.1145/3770855.3818101,https://doi.org/10.1145/3770855.3818101
796,Method,Exact k -Center Clustering on Graphs for Small k,"Stefan Funke, Sabine Storandt",10.1145/3770855,10.1145/3770855.3818102,https://doi.org/10.1145/3770855.3818102
