BibKey,Title,Authors,Year,Venue,DOI,URL,CitedInPaper,Link,LinkType
mathew2021docvqa,DocVQA: A Dataset for VQA on Document Images,"Mathew, Minesh and Karatzas, Dimosthenis and Jawahar, C. V.",2021,Proc. IEEE/CVF Winter Conf. Appl. Comput. Vis. (WACV),10.1109/WACV48630.2021.00225,,yes,https://doi.org/10.1109/WACV48630.2021.00225,paper
mathew2022infovqa,InfographicVQA,"Mathew, Minesh and Bagal, Viraj and Tito, Rubèn and Karatzas, Dimosthenis and Valveny, Ernest and Jawahar, C. V.",2022,Proc. IEEE/CVF Winter Conf. Appl. Comput. Vis. (WACV),,,yes,https://scholar.google.com/scholar?q=InfographicVQA,Scholar search
tanaka2021visualmrc,VisualMRC: Machine Reading Comprehension on Document Images,"Tanaka, Ryota and Nishida, Kyosuke and Yoshida, Sen",2021,Proc. AAAI Conf. Artificial Intelligence,,,,https://scholar.google.com/scholar?q=VisualMRC%3A+Machine+Reading+Comprehension+on+Document+Images,Scholar search
zhu2022tatdqa,Towards Complex Document Understanding by Discrete Reasoning,"Zhu, Fengbin and Lei, Wenqiang and Feng, Fuli and Wang, Chao and Zhao, Haozhou and Chua, Tat-Seng",2022,Proc. ACM Int. Conf. Multimedia (ACM MM),,,yes,https://scholar.google.com/scholar?q=Towards+Complex+Document+Understanding+by+Discrete+Reasoning,Scholar search
pramanickspiqa2024,SPIQA: A Dataset for Multimodal Question Answering on Scientific Papers,"Pramanick, Shraman and Chellappa, Rama and Venugopalan, Subhashini",2024,Adv. Neural Inf. Process. Syst. (NeurIPS),,,yes,https://scholar.google.com/scholar?q=SPIQA%3A+A+Dataset+for+Multimodal+Question+Answering+on+Scientific+Papers,Scholar search
mammlongbenchdoc2024,MMLongBench-Doc: Benchmarking Long-context Document Understanding with Visualizations,"Ma, Yubo and Zang, Yuhang and Chen, Liangyu and Chen, Meiqi and Jiao, Yizhu and Li, Xinze and others",2024,Adv. Neural Inf. Process. Syst. (NeurIPS),,,yes,https://scholar.google.com/scholar?q=MMLongBench-Doc%3A+Benchmarking+Long-context+Document+Understanding+with+Visualizations,Scholar search
macevidorev22025,ViDoRe Benchmark v2: Raising the Bar for Visual Retrieval,"Macé, Quentin and Loison, António and Faysse, Manuel",2025,arXiv preprint arXiv:2505.17166,,,yes,https://arxiv.org/abs/2505.17166,arXiv
loison2026vidorev3,ViDoRe V3: A Comprehensive Evaluation of Retrieval Augmented Generation in Complex Real-World Scenarios,"Loison, António and Macé, Quentin and Edy, Antoine and Xing, Victor and Balough, Tom and Moreira, Gabriel and Liu, Bo and Faysse, Manuel and Hudelot, Céline and Viaud, Gautier",2026,Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),,https://aclanthology.org/2026.acl-long.755/,yes,https://aclanthology.org/2026.acl-long.755/,paper
unidocbench2025,UniDoc-Bench: A Unified Benchmark for Document-Centric Multimodal RAG,"Peng, Xiangyu and Qin, Can and Chen, Zeyuan and Xu, Ran and Xiong, Caiming and Wu, Chien-Sheng",2025,arXiv preprint arXiv:2510.03663,,,yes,https://arxiv.org/abs/2510.03663,arXiv
visrbench2025,VisR-Bench: An Empirical Study on Visual Retrieval-Augmented Generation for Multilingual Long Document Understanding,"Chen, Jian and Li, Ming and Kil, Jihyung and Wang, Chenguang and Yu, Tong and Rossi, Ryan and Zhou, Tianyi and Chen, Changyou and Zhang, Ruiyi",2025,arXiv preprint arXiv:2508.07493,,,yes,https://arxiv.org/abs/2508.07493,arXiv
bboxdocvqa2025,SciEGQA: A Dataset for Scientific Evidence-Grounded Question Answering and Reasoning,"Yu, Wenhan and Zhang, Zhaoxi and Chen, Wang and Qi, Guanqiang and Li, Weikang and Sha, Lei and Xia, Deguo and Huang, Jizhou",2026,arXiv preprint arXiv:2511.15090,,,yes,https://yuwenhan07.github.io/SciEGQA-project/,paper
dong-etal-2025-mmdocir,MMDocIR: Benchmarking Multimodal Retrieval for Long Documents,"Dong, Kuicai and Chang, Yujing and Goh Xin Deik, Derrick and others",2025,Proc. Conf. Empirical Methods Natural Language Process. (EMNLP),,https://aclanthology.org/2025.emnlp-main.1576/,yes,https://aclanthology.org/2025.emnlp-main.1576/,paper
ouyangomnidocbench2025,OmniDocBench: Benchmarking Diverse PDF Document Parsing with Comprehensive Annotations,"Ouyang, Linke and Qu, Yuan and Zhou, Hongbin and Zhu, Jiawei and Zhang, Rui and Lin, Qunshu and Wang, Bin and Liu, Zhiyuan and Li, Minghao and Xu, Chao and Zhang, Bo and Shi, Botian and Tu, Zhongying and He, Conghui",2025,Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit. (CVPR),10.1109/CVPR52734.2025.02313,,yes,https://doi.org/10.1109/CVPR52734.2025.02313,paper
song2026ocrquality,Defining the Problem: The Impact of OCR Quality on Retrieval-Augmented Generation Performance and Strategies for Improvement,"Song, Minchae",2026,Information Processing & Management,10.1016/j.ipm.2025.104368,,yes,https://doi.org/10.1016/j.ipm.2025.104368,paper
